,0,1
192,66553,
193,66656,
194,66686,
195,66798,
196,66799,
197,66835,
198,66873,
199,66874,
200,66898,
201,66899,
202,66934,
203,67269,
204,67303,
205,67389,
206,33719,
207,33723,
208,33725,
209,33731,
210,33741,
211,33750,
212,33761,
213,33781,
214,33796,
215,33803,
216,33806,
217,33950,
218,34039,
219,34064,
220,38742,
221,66015,
222,35247,
223,35367,
224,36489,
225,36776,
226,34089,
227,34109,
228,34270,
229,40591,
230,55762,
231,35956,
232,34801,
233,35048,
234,34382,
235,35364,
236,35476,
237,34982,
238,34445,
239,35265,
240,37408,
241,67038,
242,35468,
243,35861,
244,36636,
245,36638,
246,37987,
247,34450,
248,34529,
249,36127,
250,34891,
251,34530,
252,34532,
253,54667,
254,34572,
255,49139,
256,34566,
257,36926,
258,36932,
259,36933,
260,36934,
261,36935,
262,36937,
263,37035,
264,37303,
265,37307,
266,37585,
267,37978,
268,39458,
269,40476,
270,40578,
271,40963,
272,43629,
273,43775,
274,44008,
275,45188,
276,45507,
277,46271,
278,46551,
279,47000,
280,47579,
281,47582,
282,47698,
283,47926,
284,50030,
285,50813,
286,50937,
287,52097,
288,56198,
289,63629,
290,64776,
291,64778,
292,66517,
293,35587,
294,63874,
295,35005,
296,36285,
297,35099,
298,35560,
299,36447,
300,34834,
301,34670,
302,35387,
303,36677,
304,39284,
305,40721,
306,43773,
307,46711,
308,54342,
309,64905,
310,35475,
311,40297,
312,50025,
313,34742,
314,36218,
315,34809,
316,35565,
317,34867,
318,34959,
319,34983,
320,34989,
321,35002,
322,52818,
323,35012,
324,35021,
325,35023,
326,35104,
327,37122,
328,35130,
329,35172,
330,36556,
331,44819,
332,35173,
333,42115,
334,35250,
335,37305,
336,35267,
337,35268,
338,38712,
339,35293,
340,35859,
341,54205,
342,35309,
343,35363,
344,35365,
345,36553,
346,36555,
347,67285,
348,35318,
349,35338,
350,35362,
351,38574,
352,56532,
353,65330,
354,38876,
355,66088,
356,35366,
357,35369,
358,35374,
359,35414,
360,35558,
361,35416,
362,35418,
363,42984,
364,35457,
365,35474,
366,35498,
367,35510,
368,36286,
369,39833,
370,39495,
371,43493,
372,66090,
373,35511,
374,40966,
375,49834,
376,35515,
377,35544,
378,35563,
379,39282,
380,54306,
381,35566,
382,35960,
383,42562,
384,43019,
385,37989,
386,57071,
387,66086,
388,35605,
389,35608,
390,36936,
391,37030,
392,39459,
393,39460,
394,39480,
395,39605,
396,39830,
397,39832,
398,39847,
399,39953,
400,40042,
401,40331,
402,40343,
403,40481,
404,41273,
405,46395,
406,46553,
407,46706,
408,46708,
409,46823,
410,47152,
411,47290,
412,49052,
413,49172,
414,49335,
415,53246,
416,53527,
417,59287,
418,66082,
419,66244,
420,66320,
421,35609,
422,35619,
423,39703,
424,35786,
425,35822,
426,35865,
427,35910,
428,35961,
429,36637,
430,60203,
431,36098,
432,36122,
433,36123,
434,42366,
435,36184,
436,39609,
437,45192,
438,36225,
439,36289,
440,40851,
441,42845,
442,36380,
443,36410,
444,36415,
445,36634,
446,40055,
447,36492,
448,36554,
449,43207,
450,48384,
451,42565,
452,44205,
453,45808,
454,36676,
455,47422,
456,36680,
457,36925,
458,46252,
459,54332,
460,44708,
461,53239,
462,41750,
463,49145,
464,40598,
465,46381,
466,40597,
467,42848,
468,47388,
469,48850,
470,42259,
471,42394,
472,41274,
473,42411,
474,48111,
475,42263,
476,37748,
477,55439,
478,42262,
479,42566,
480,42395,
481,42261,
482,46060,
483,43777,
484,45709,
485,42560,
486,48378,
487,38580,
488,38741,
489,48379,
490,45516,
491,39612,
492,55630,
493,39851,
494,55898,
495,49488,
496,39729,
497,48106,
498,47142,
499,50586,
500,46816,
501,49484,
502,57374,
503,48422,
504,42713,
505,49612,
506,48841,
507,44010,
508,52250,
509,57106,
510,46055,
511,44026,
512,58349,
513,44028,
514,51350,
515,57121,
516,40483,
517,48109,
518,48108,
519,49168,
520,46528,
521,47593,
522,53097,
523,45066,
524,45517,
525,50171,
526,46378,
527,56621,
528,52249,
529,47424,
530,52781,
531,47145,
532,49489,
533,55651,
534,50468,
535,53968,
536,53260,
537,52939,
538,52798,
539,52521,
540,52691,
541,50759,
542,53095,
543,57563,
544,52801,
545,53747,
546,51358,
547,56813,
548,52944,
549,54827,
550,53130,
551,50172,
552,50028,
553,54190,
554,52945,
555,52690,
556,50469,
557,57122,
558,50944,
559,52350,
560,50618,
561,54016,
562,55224,
563,53746,
564,48373,
565,53262,
566,53263,
567,58755,
568,54948,
569,55926,
570,64978,
571,67286,
572,67274,
573,65942,
574,33718,60950.0
575,33718,39957.0
576,33718,62411.0
577,33718,61329.0
578,33718,59452.0
579,33718,45037.0
580,33718,36689.0
581,33718,41402.0
582,33718,42847.0
583,33718,60951.0
584,33718,39029.0
585,33718,36291.0
586,33718,36183.0
587,33718,36195.0
588,33718,36381.0
589,33718,36382.0
590,33718,36409.0
591,33718,36411.0
592,33718,36485.0
593,33718,36486.0
594,33718,36548.0
595,33718,36550.0
596,33718,36597.0
597,33718,36670.0
598,33718,36673.0
599,33718,36775.0
600,33718,36928.0
601,33718,36929.0
602,33718,36969.0
603,33718,37026.0
604,33718,37027.0
605,33718,37121.0
606,33718,37206.0
607,33718,37207.0
608,33718,37405.0
609,33718,37406.0
610,33718,37422.0
611,33718,37581.0
612,33718,37583.0
613,33718,37590.0
614,33718,37722.0
615,33718,37724.0
616,33718,37725.0
617,33718,37846.0
618,33718,37847.0
619,33718,37848.0
620,33718,37865.0
621,33718,37988.0
622,33718,38128.0
623,33718,38129.0
624,33718,38130.0
625,33718,38131.0
626,33718,38245.0
627,33718,38539.0
628,33718,38550.0
629,33718,38576.0
630,33718,38740.0
631,33718,38875.0
632,33718,39025.0
633,33718,39163.0
634,33718,39164.0
635,33718,39305.0
636,33718,39309.0
637,33718,39492.0
638,33718,39493.0
639,33718,39730.0
640,33718,41403.0
641,33718,58908.0
642,33718,59901.0
643,33718,60393.0
644,33718,60817.0
645,33718,60954.0
646,33718,60961.0
647,33718,61313.0
648,33718,61460.0
649,33718,61766.0
650,33718,61770.0
651,33718,62045.0
652,33718,62147.0
653,33718,62284.0
654,33718,62429.0
655,34601,36285.0
656,34638,35560.0
657,34638,36447.0
658,34705,40297.0
659,34705,50025.0
660,35564,54306.0
661,35626,40577.0
662,35626,42712.0
663,35626,67285.0
664,36183,43019.0
665,36381,40302.0
666,36381,39482.0
667,36381,39459.0
668,36381,39460.0
669,36381,39480.0
670,36381,39605.0
671,36381,39830.0
672,36381,39832.0
673,36381,39847.0
674,36381,39953.0
675,36381,40042.0
676,36381,40331.0
677,36381,40343.0
678,36381,40481.0
679,36381,41273.0
680,36381,46395.0
681,36381,46553.0
682,36381,46706.0
683,36381,46708.0
684,36381,46823.0
685,36381,47152.0
686,36381,47290.0
687,36381,49052.0
688,36381,49172.0
689,36381,49335.0
690,36381,53246.0
691,36381,53527.0
692,36381,59287.0
693,36381,66082.0
694,36381,66244.0
695,36381,66320.0
696,36382,40041.0
697,36382,42690.0
698,36411,40851.0
699,36411,42845.0
700,36485,42691.0
701,36485,39284.0
702,36485,40721.0
703,36485,43773.0
704,36485,46711.0
705,36485,54342.0
706,36485,64905.0
707,36548,40966.0
708,36548,49834.0
709,36673,44205.0
710,36775,39833.0
711,36928,54332.0
712,36929,39955.0
713,36929,40040.0
714,37206,42692.0
715,37206,44819.0
716,37724,46381.0
717,37988,66090.0
718,38131,66459.0
719,38131,55762.0
720,38576,55439.0
721,38740,66086.0
722,39163,54667.0
723,39164,66088.0
724,39165,55898.0
725,39309,56532.0
726,39309,65330.0
727,39490,47391.0
728,39490,54205.0
729,39493,66015.0
730,39731,49484.0
731,41405,60203.0
732,42104,49489.0
733,44511,52798.0
734,33719,36689.0
735,33719,39496.0
736,33719,39029.0
737,33719,36381.0
738,33719,36382.0
739,33719,36409.0
740,33719,36411.0
741,33719,36485.0
742,33719,36486.0
743,33719,36548.0
744,33719,36550.0
745,33719,36597.0
746,33719,36670.0
747,33719,36673.0
748,33719,36775.0
749,33719,36928.0
750,33719,36929.0
751,33719,36969.0
752,33719,37026.0
753,33719,37027.0
754,33719,37121.0
755,33719,37206.0
756,33719,37207.0
757,33719,37405.0
758,33719,37406.0
759,33719,37422.0
760,33719,37581.0
761,33719,37583.0
762,33719,37590.0
763,33719,37722.0
764,33719,37724.0
765,33719,37725.0
766,33719,37846.0
767,33719,37847.0
768,33719,37848.0
769,33719,37865.0
770,33719,37988.0
771,33719,38128.0
772,33719,38129.0
773,33719,38130.0
774,33719,38131.0
775,33719,38245.0
776,33719,38355.0
777,33719,38539.0
778,33719,38550.0
779,33719,38576.0
780,33719,38577.0
781,33719,38740.0
782,33719,38744.0
783,33719,38873.0
784,33719,38875.0
785,33719,39024.0
786,33719,39025.0
787,33719,39026.0
788,33719,39163.0
789,33719,39164.0
790,33719,39165.0
791,33719,39166.0
792,33719,39305.0
793,33719,39309.0
794,33719,39490.0
795,33719,39491.0
796,33719,39492.0
797,33719,39493.0
798,33719,39494.0
799,33719,39498.0
800,33723,36689.0
801,33723,39029.0
802,33723,36291.0
803,33723,36381.0
804,33723,36382.0
805,33723,36409.0
806,33723,36411.0
807,33723,36485.0
808,33723,36486.0
809,33723,36548.0
810,33723,36550.0
811,33723,36597.0
812,33723,36670.0
813,33723,36673.0
814,33723,36775.0
815,33723,36928.0
816,33723,36929.0
817,33723,36969.0
818,33723,37026.0
819,33723,37027.0
820,33723,37121.0
821,33723,37206.0
822,33723,37207.0
823,33723,37405.0
824,33723,37406.0
825,33723,37422.0
826,33723,37581.0
827,33723,37583.0
828,33723,37590.0
829,33723,37722.0
830,33723,37724.0
831,33723,37725.0
832,33723,37846.0
833,33723,37847.0
834,33723,37848.0
835,33723,37865.0
836,33723,37988.0
837,33723,38128.0
838,33723,38129.0
839,33723,38130.0
840,33723,38131.0
841,33723,38245.0
842,33723,38355.0
843,33723,38539.0
844,33723,38550.0
845,33723,38576.0
846,33723,38577.0
847,33723,38740.0
848,33723,38744.0
849,33723,38873.0
850,33723,38875.0
851,33723,39024.0
852,33723,39025.0
853,33723,39026.0
854,33723,39163.0
855,33723,39164.0
856,33723,39165.0
857,33723,39166.0
858,33723,39305.0
859,33725,60950.0
860,33725,39957.0
861,33725,62411.0
862,33725,61329.0
863,33725,59452.0
864,33725,45037.0
865,33725,36689.0
866,33725,41402.0
867,33725,42847.0
868,33725,60951.0
869,33725,39496.0
870,33725,39029.0
871,33725,48530.0
872,33725,54204.0
873,33725,36927.0
874,33725,40338.0
875,33725,40965.0
876,33725,36485.0
877,33725,36486.0
878,33725,36548.0
879,33725,36550.0
880,33725,36597.0
881,33725,36670.0
882,33725,36673.0
883,33725,36775.0
884,33725,36928.0
885,33725,36929.0
886,33725,36969.0
887,33725,37026.0
888,33725,37027.0
889,33725,37121.0
890,33725,37206.0
891,33725,37207.0
892,33725,37405.0
893,33725,37406.0
894,33725,37422.0
895,33725,37581.0
896,33725,37583.0
897,33725,37590.0
898,33725,37722.0
899,33725,37724.0
900,33725,37725.0
901,33725,37846.0
902,33725,37847.0
903,33725,37848.0
904,33725,37865.0
905,33725,37988.0
906,33725,38128.0
907,33725,38129.0
908,33725,38130.0
909,33725,38131.0
910,33725,38245.0
911,33725,38355.0
912,33725,38539.0
913,33725,38550.0
914,33725,38576.0
915,33725,38577.0
916,33725,38740.0
917,33725,38744.0
918,33725,38873.0
919,33725,38875.0
920,33725,39024.0
921,33725,39025.0
922,33725,39026.0
923,33725,39163.0
924,33725,39164.0
925,33725,39165.0
926,33725,39166.0
927,33725,39305.0
928,33725,39309.0
929,33725,39490.0
930,33725,39491.0
931,33725,39492.0
932,33725,39493.0
933,33725,39494.0
934,33725,39498.0
935,33725,39610.0
936,33725,39727.0
937,33725,39728.0
938,33725,39730.0
939,33725,39731.0
940,33725,39732.0
941,33725,41403.0
942,33725,58908.0
943,33725,59901.0
944,33725,60393.0
945,33725,60817.0
946,33725,60954.0
947,33725,60961.0
948,33725,61313.0
949,33725,61460.0
950,33725,61766.0
951,33725,61770.0
952,33725,62045.0
953,33725,62147.0
954,33725,62284.0
955,33725,62429.0
956,33731,36689.0
957,33731,39496.0
958,33731,39029.0
959,33731,36927.0
960,33731,36409.0
961,33731,36411.0
962,33731,36485.0
963,33731,36486.0
964,33731,36548.0
965,33731,36550.0
966,33731,36597.0
967,33731,36670.0
968,33731,36673.0
969,33731,36775.0
970,33731,36928.0
971,33731,36929.0
972,33731,36969.0
973,33731,37026.0
974,33731,37027.0
975,33731,37121.0
976,33731,37206.0
977,33731,37207.0
978,33731,37405.0
979,33731,37406.0
980,33731,37422.0
981,33731,37581.0
982,33731,37583.0
983,33731,37590.0
984,33731,37722.0
985,33731,37724.0
986,33731,37725.0
987,33731,37846.0
988,33731,37847.0
989,33731,37848.0
990,33731,37865.0
991,33731,37988.0
992,33731,38128.0
993,33731,38129.0
994,33731,38130.0
995,33731,38131.0
996,33731,38245.0
997,33731,38355.0
998,33731,38539.0
999,33731,38550.0
1000,33731,38576.0
1001,33731,38577.0
1002,33731,38740.0
1003,33731,38744.0
1004,33731,38873.0
1005,33731,38875.0
1006,33731,39024.0
1007,33731,39025.0
1008,33731,39026.0
1009,33731,39163.0
1010,33731,39164.0
1011,33731,39165.0
1012,33731,39166.0
1013,33731,39305.0
1014,33731,39309.0
1015,33731,39490.0
1016,33731,39491.0
1017,33731,39492.0
1018,33731,39493.0
1019,33731,39494.0
1020,33731,39498.0
1021,33731,39610.0
1022,33741,36689.0
1023,33741,39496.0
1024,33741,39029.0
1025,33741,36381.0
1026,33741,36382.0
1027,33741,36409.0
1028,33741,36411.0
1029,33741,36485.0
1030,33741,36486.0
1031,33741,36548.0
1032,33741,36550.0
1033,33741,36597.0
1034,33741,36670.0
1035,33741,36673.0
1036,33741,36775.0
1037,33741,36928.0
1038,33741,36929.0
1039,33741,36969.0
1040,33741,37026.0
1041,33741,37027.0
1042,33741,37121.0
1043,33741,37206.0
1044,33741,37207.0
1045,33741,37405.0
1046,33741,37406.0
1047,33741,37422.0
1048,33741,37581.0
1049,33741,37583.0
1050,33741,37590.0
1051,33741,37722.0
1052,33741,37724.0
1053,33741,37725.0
1054,33741,37846.0
1055,33741,37847.0
1056,33741,37848.0
1057,33741,37865.0
1058,33741,37988.0
1059,33741,38128.0
1060,33741,38129.0
1061,33741,38130.0
1062,33741,38131.0
1063,33741,38245.0
1064,33741,38355.0
1065,33741,38539.0
1066,33741,38550.0
1067,33741,38576.0
1068,33741,38577.0
1069,33741,38740.0
1070,33741,38744.0
1071,33741,38873.0
1072,33741,38875.0
1073,33741,39024.0
1074,33741,39025.0
1075,33741,39026.0
1076,33741,39163.0
1077,33741,39164.0
1078,33741,39165.0
1079,33741,39166.0
1080,33741,39305.0
1081,33741,39309.0
1082,33741,39490.0
1083,33741,39491.0
1084,33741,39492.0
1085,33741,39493.0
1086,33741,39494.0
1087,33741,39498.0
1088,33750,36689.0
1089,33750,39496.0
1090,33750,39029.0
1091,33750,36927.0
1092,33750,36485.0
1093,33750,36486.0
1094,33750,36548.0
1095,33750,36550.0
1096,33750,36597.0
1097,33750,36670.0
1098,33750,36673.0
1099,33750,36775.0
1100,33750,36928.0
1101,33750,36929.0
1102,33750,36969.0
1103,33750,37026.0
1104,33750,37027.0
1105,33750,37121.0
1106,33750,37206.0
1107,33750,37207.0
1108,33750,37405.0
1109,33750,37406.0
1110,33750,37422.0
1111,33750,37581.0
1112,33750,37583.0
1113,33750,37590.0
1114,33750,37722.0
1115,33750,37724.0
1116,33750,37725.0
1117,33750,37846.0
1118,33750,37847.0
1119,33750,37848.0
1120,33750,37865.0
1121,33750,37988.0
1122,33750,38128.0
1123,33750,38129.0
1124,33750,38130.0
1125,33750,38131.0
1126,33750,38245.0
1127,33750,38539.0
1128,33750,38550.0
1129,33750,38576.0
1130,33750,38577.0
1131,33750,38740.0
1132,33750,38744.0
1133,33750,38873.0
1134,33750,38875.0
1135,33750,39024.0
1136,33750,39025.0
1137,33750,39026.0
1138,33750,39163.0
1139,33750,39164.0
1140,33750,39165.0
1141,33750,39166.0
1142,33750,39305.0
1143,33750,39309.0
1144,33750,39490.0
1145,33750,39491.0
1146,33750,39492.0
1147,33750,39493.0
1148,33750,39494.0
1149,33750,39498.0
1150,33750,39610.0
1151,33750,39727.0
1152,33750,39728.0
1153,33750,39730.0
1154,33750,39731.0
1155,33750,39732.0
1156,33761,39957.0
1157,33761,36689.0
1158,33761,39496.0
1159,33761,39029.0
1160,33761,36927.0
1161,33761,40338.0
1162,33761,39959.0
1163,33761,36670.0
1164,33761,36673.0
1165,33761,36775.0
1166,33761,36928.0
1167,33761,36929.0
1168,33761,36969.0
1169,33761,37026.0
1170,33761,37027.0
1171,33761,37121.0
1172,33761,37206.0
1173,33761,37207.0
1174,33761,37405.0
1175,33761,37406.0
1176,33761,37422.0
1177,33761,37581.0
1178,33761,37583.0
1179,33761,37590.0
1180,33761,37722.0
1181,33761,37724.0
1182,33761,37725.0
1183,33761,37846.0
1184,33761,37847.0
1185,33761,37848.0
1186,33761,37865.0
1187,33761,37988.0
1188,33761,38128.0
1189,33761,38129.0
1190,33761,38130.0
1191,33761,38131.0
1192,33761,38245.0
1193,33761,38355.0
1194,33761,38539.0
1195,33761,38550.0
1196,33761,38576.0
1197,33761,38577.0
1198,33761,38740.0
1199,33761,38744.0
1200,33761,38873.0
1201,33761,38875.0
1202,33761,39024.0
1203,33761,39025.0
1204,33761,39026.0
1205,33761,39163.0
1206,33761,39164.0
1207,33761,39165.0
1208,33761,39166.0
1209,33761,39305.0
1210,33761,39309.0
1211,33761,39490.0
1212,33761,39491.0
1213,33761,39492.0
1214,33761,39493.0
1215,33761,39494.0
1216,33761,39498.0
1217,33761,39610.0
1218,33761,39727.0
1219,33761,39728.0
1220,33761,39730.0
1221,33761,39731.0
1222,33761,39732.0
1223,33761,39867.0
1224,33761,39956.0
1225,33761,40056.0
1226,33781,36689.0
1227,33781,39029.0
1228,33781,36291.0
1229,33781,36381.0
1230,33781,36382.0
1231,33781,36409.0
1232,33781,36411.0
1233,33781,36485.0
1234,33781,36486.0
1235,33781,36548.0
1236,33781,36550.0
1237,33781,36597.0
1238,33781,36670.0
1239,33781,36673.0
1240,33781,36775.0
1241,33781,36928.0
1242,33781,36929.0
1243,33781,36969.0
1244,33781,37026.0
1245,33781,37027.0
1246,33781,37121.0
1247,33781,37206.0
1248,33781,37207.0
1249,33781,37405.0
1250,33781,37406.0
1251,33781,37422.0
1252,33781,37581.0
1253,33781,37583.0
1254,33781,37590.0
1255,33781,37722.0
1256,33781,37724.0
1257,33781,37725.0
1258,33781,37846.0
1259,33781,37847.0
1260,33781,37848.0
1261,33781,37865.0
1262,33781,37988.0
1263,33781,38128.0
1264,33781,38129.0
1265,33781,38130.0
1266,33781,38131.0
1267,33781,38245.0
1268,33781,38355.0
1269,33781,38539.0
1270,33781,38550.0
1271,33781,38576.0
1272,33781,38577.0
1273,33781,38740.0
1274,33781,38744.0
1275,33781,38873.0
1276,33781,38875.0
1277,33781,39024.0
1278,33781,39025.0
1279,33781,39026.0
1280,33781,39163.0
1281,33781,39164.0
1282,33781,39165.0
1283,33781,39166.0
1284,33781,39305.0
1285,33796,36689.0
1286,33796,39496.0
1287,33796,39029.0
1288,33796,36381.0
1289,33796,36382.0
1290,33796,36409.0
1291,33796,36411.0
1292,33796,36485.0
1293,33796,36486.0
1294,33796,36548.0
1295,33796,36550.0
1296,33796,36597.0
1297,33796,36670.0
1298,33796,36673.0
1299,33796,36775.0
1300,33796,36928.0
1301,33796,36929.0
1302,33796,36969.0
1303,33796,37026.0
1304,33796,37027.0
1305,33796,37121.0
1306,33796,37206.0
1307,33796,37207.0
1308,33796,37405.0
1309,33796,37406.0
1310,33796,37422.0
1311,33796,37581.0
1312,33796,37583.0
1313,33796,37590.0
1314,33796,37722.0
1315,33796,37724.0
1316,33796,37725.0
1317,33796,37846.0
1318,33796,37847.0
1319,33796,37848.0
1320,33796,37865.0
1321,33796,37988.0
1322,33796,38128.0
1323,33796,38129.0
1324,33796,38130.0
1325,33796,38131.0
1326,33796,38245.0
1327,33796,38355.0
1328,33796,38539.0
1329,33796,38550.0
1330,33796,38576.0
1331,33796,38577.0
1332,33796,38740.0
1333,33796,38744.0
1334,33796,38873.0
1335,33796,38875.0
1336,33796,39024.0
1337,33796,39025.0
1338,33796,39026.0
1339,33796,39163.0
1340,33796,39164.0
1341,33796,39165.0
1342,33796,39166.0
1343,33796,39305.0
1344,33796,39309.0
1345,33796,39490.0
1346,33796,39491.0
1347,33796,39492.0
1348,33796,39493.0
1349,33796,39494.0
1350,33796,39498.0
1351,33803,36689.0
1352,33803,39029.0
1353,33803,36291.0
1354,33803,36381.0
1355,33803,36382.0
1356,33803,36409.0
1357,33803,36411.0
1358,33803,36485.0
1359,33803,36486.0
1360,33803,36548.0
1361,33803,36550.0
1362,33803,36597.0
1363,33803,36670.0
1364,33803,36673.0
1365,33803,36775.0
1366,33803,36928.0
1367,33803,36929.0
1368,33803,36969.0
1369,33803,37026.0
1370,33803,37027.0
1371,33803,37121.0
1372,33803,37206.0
1373,33803,37207.0
1374,33803,37405.0
1375,33803,37406.0
1376,33803,37422.0
1377,33803,37581.0
1378,33803,37583.0
1379,33803,37590.0
1380,33803,37722.0
1381,33803,37724.0
1382,33803,37725.0
1383,33803,37846.0
1384,33803,37847.0
1385,33803,37848.0
1386,33803,37865.0
1387,33803,37988.0
1388,33803,38128.0
1389,33803,38129.0
1390,33803,38130.0
1391,33803,38131.0
1392,33803,38245.0
1393,33803,38355.0
1394,33803,38539.0
1395,33803,38550.0
1396,33803,38576.0
1397,33803,38577.0
1398,33803,38740.0
1399,33803,38744.0
1400,33803,38873.0
1401,33803,38875.0
1402,33803,39024.0
1403,33803,39025.0
1404,33803,39026.0
1405,33803,39305.0
1406,33806,58140.0
1407,33806,59452.0
1408,33806,36689.0
1409,33806,39496.0
1410,33806,47270.0
1411,33806,39029.0
1412,33806,48530.0
1413,33806,36927.0
1414,33806,40338.0
1415,33806,36409.0
1416,33806,36411.0
1417,33806,36485.0
1418,33806,36486.0
1419,33806,36548.0
1420,33806,36550.0
1421,33806,36597.0
1422,33806,36670.0
1423,33806,36673.0
1424,33806,36775.0
1425,33806,36928.0
1426,33806,36929.0
1427,33806,36969.0
1428,33806,37026.0
1429,33806,37027.0
1430,33806,37121.0
1431,33806,37206.0
1432,33806,37207.0
1433,33806,37405.0
1434,33806,37406.0
1435,33806,37581.0
1436,33806,37583.0
1437,33806,37590.0
1438,33806,37722.0
1439,33806,37724.0
1440,33806,37725.0
1441,33806,37846.0
1442,33806,37847.0
1443,33806,37848.0
1444,33806,37865.0
1445,33806,37988.0
1446,33806,38128.0
1447,33806,38129.0
1448,33806,38130.0
1449,33806,38131.0
1450,33806,38245.0
1451,33806,38355.0
1452,33806,38539.0
1453,33806,38550.0
1454,33806,38576.0
1455,33806,38577.0
1456,33806,38740.0
1457,33806,38744.0
1458,33806,38873.0
1459,33806,38875.0
1460,33806,39024.0
1461,33806,39025.0
1462,33806,39026.0
1463,33806,39163.0
1464,33806,39164.0
1465,33806,39165.0
1466,33806,39166.0
1467,33806,39305.0
1468,33806,39309.0
1469,33806,39490.0
1470,33806,39491.0
1471,33806,39492.0
1472,33806,39493.0
1473,33806,39494.0
1474,33806,39498.0
1475,33806,39610.0
1476,33806,39730.0
1477,33806,39732.0
1478,33806,39956.0
1479,33806,40056.0
1480,33806,46691.0
1481,33806,46814.0
1482,33806,46815.0
1483,33806,46982.0
1484,33806,47158.0
1485,33806,47271.0
1486,33806,47294.0
1487,33806,47440.0
1488,33806,47692.0
1489,33806,47693.0
1490,33806,48107.0
1491,33806,48118.0
1492,33806,48229.0
1493,33806,48664.0
1494,33806,49177.0
1495,33806,49183.0
1496,33806,49330.0
1497,33806,49825.0
1498,33806,50200.0
1499,33806,56822.0
1500,33806,57864.0
1501,33806,57865.0
1502,33806,58002.0
1503,33806,58005.0
1504,33806,58025.0
1505,33806,58908.0
1506,33806,59901.0
1507,33806,60393.0
1508,33806,60817.0
1509,33950,39957.0
1510,33950,39496.0
1511,33950,39029.0
1512,33950,36927.0
1513,33950,40338.0
1514,33950,39959.0
1515,33950,36928.0
1516,33950,36929.0
1517,33950,36969.0
1518,33950,37026.0
1519,33950,37027.0
1520,33950,37121.0
1521,33950,37206.0
1522,33950,37207.0
1523,33950,37405.0
1524,33950,37406.0
1525,33950,37422.0
1526,33950,37581.0
1527,33950,37583.0
1528,33950,37590.0
1529,33950,37722.0
1530,33950,37724.0
1531,33950,37725.0
1532,33950,37846.0
1533,33950,37847.0
1534,33950,37848.0
1535,33950,37865.0
1536,33950,37988.0
1537,33950,38128.0
1538,33950,38129.0
1539,33950,38130.0
1540,33950,38131.0
1541,33950,38245.0
1542,33950,38355.0
1543,33950,38550.0
1544,33950,38576.0
1545,33950,38577.0
1546,33950,38740.0
1547,33950,38744.0
1548,33950,38873.0
1549,33950,38875.0
1550,33950,39024.0
1551,33950,39025.0
1552,33950,39026.0
1553,33950,39163.0
1554,33950,39164.0
1555,33950,39165.0
1556,33950,39166.0
1557,33950,39305.0
1558,33950,39309.0
1559,33950,39490.0
1560,33950,39491.0
1561,33950,39492.0
1562,33950,39493.0
1563,33950,39494.0
1564,33950,39498.0
1565,33950,39610.0
1566,33950,39727.0
1567,33950,39728.0
1568,33950,39730.0
1569,33950,39731.0
1570,33950,39732.0
